,name,description,category
404,"Council claims licensing scheme ‘has improved 3,100 homes’","The government has given the green light to a council’s huge licensing scheme, set to cover 18 of its 20 wards and starting on May 1. Waltham Forest council, in its pitch to the Ministry of Housing, Communities and Local Government, said there was evidence over 8,000 rented homes contained significant hazards. A borough-wide selective ...",Politics
13,Kind police officer took pity on widow who cares for 9 kids after catching her shoplifting,"Police officer Bryan Wagner was called after Sarah Lindgren stole steaks from her local Walmart, but was so moved by the widow’s story he embarked on an amazing act of kindness (Pictures: KARE) A kind-hearted police officer took pity on a widowed grandmother who cares for nine children after catching her shoplifting. Bryan Wagner from ...",World
78,Premium Bond prizes slashed from May 1,"Premium Bonds odds have lengthened, meaning the chance of winning has been slashed after National Savings & Investment (NS&I) failed to hit its income target. Millions of savers will be worse off when the changes are made on May 1, as interest rates were also cut on a number of its accounts. The state-backed institution, which has a duty to ...",Business
452,Amazon tycoon Jeff Bezos pledges $10 billion to fight climate change,"The world’s richest man has offered $10 billion of his personal wealth to fight climate change as he vowed yesterday to help to “save Earth”. Jeff Bezos, the Amazon chief executive, said that he would fund scientists, activists, non-profit groups and “any effort that offers a real possibility to help preserve and protect the natural ...",ScienceAndTechnology
31,"Stay in Australia for longer if you help bushfire repairs, backpackers told",Tens of thousands of young Britons will get the chance to spend more time in Australia if they agree to join the recovery effort to restore areas ravaged by bushfires. Under plans announced by Scott Morrison’s government to alleviate the severe labour ...,World
367,"130,000 people sign petition demanding Boris Johnson 'stops attacking BBC'","More than 130,000 people have signed a petition demanding Boris Johnson “stops attacking the BBC”. The prime minister was accused of adopting “Donald Trump’s playbook” amid the government’s ongoing war with the corporation. As of 5.30pm on Monday, 131,000 people had signed the “Save Our BBC” petition, just one day after it launched.",Politics
240,Aldi Puts Welsh Beef into all its Stores in Wales,"Aldi is boosting its range of locally-sourced produce with the launch of a new range of Welsh beef products available in its stores throughout Wales. The new range will be available in more than 50 Aldi stores across the country and will comprise 13 different products, including a selection of fillet, ribeye and sirloin Steaks, both 28 and 21 ...",Health
377,The Pale Horse ending explained – what happened at the end of the Agatha Christie adaptation,"The Pale Horse was another triumphant bit of revisionist Agatha Christie from Sarah Phelps, bringing a level of sinister, eldritch paranoia to what could have been a dusty old whodunnit. Like Phelps' other BBC adaptations, including The ABC Murders and And Then There Were None, it was a dark, grown-up look at the murder business. But it wasn't ...",Politics
450,"Rainbow Six Siege officially coming to PS5 and Xbox Series X, will feature cross-play","For a game with ‘Rainbow’ in the title, there’s very little colour here (Picture: Ubisoft) Rainbow Six Siege’s success has guaranteed it a new home on next gen consoles, and it will feature cross-play too. With Rainbow Six Siege being considered one of the best first person shooter titles of the current generation, it’s not at all ...",ScienceAndTechnology
235,"Julian Assange 'in dire state of health due to psychological torture', doctors claim","A group of doctors and psychologists has warned that Julian Assange could be ""effectively tortured to death in prison"". The 117-strong group penned an open letter in The Lancet medical journal, calling for an end to what it described as ""the psychological torture and medical neglect"" of the WikiLeaks founder. Mr Assange is being held in ...",Health
481,Imperial academic named as new Director of £22m energy research centre,"The UK Energy Research Centre (UKERC) will help the UK work towards its net-zero target under the new leadership of Imperial’s Dr Rob Gross. The UK has pledged ‘net-zero’ emissions by 2050, which requires decarbonizing key sectors such as industry, transport and heat, alongside developing and rolling out technologies that remove carbon ...",ScienceAndTechnology
207,David Lloyd to present The Story of Radio,"Radio consultant David Lloyd is booked in at the Burgh House & Hampstead Museum in London to present The Story of Radio next month. The Story of Radio will happen on March 4th at 7.30pm, providing an alternative night of entertainment to the ARIAs which is scheduled for the same time. David presents the radio podcast Conversations and hosts the ...",Entertainment
184,Imelda Staunton urges women not to spin on the red carpet,"Imelda Staunton has said she would like to see young female stars on the red carpet wear dinner jackets and refuse to spin around for photographers. The actress, 64, said that while she can understand that stars want to pose in their finery, it would be refreshing to see the red carpet handled differently. She told Radio Times magazine: “I ...",Entertainment
249,'Every scenario on the table' in China virus outbreak - WHO's Tedros,"GENEVA (Reuters) - The latest data provided by China on people infected with coronavirus indicates a decline in new cases but “every scenario is still on the table” in terms of the epidemic’s evolution, the World Health Organization said on Monday. Tedros Adhanom Ghebreyesus, WHO director-general, told a news conference in Geneva that ...",Health
334,No 10 refuses to condemn adviser's remarks,"Downing Street has refused to condemn controversial past remarks on pregnancies, eugenics and race reportedly made by a new adviser. Labour said Andrew Sabisky should be sacked for suggesting black people had lower average IQs than white people and compulsory contraception could prevent ""creating a permanent underclass"". No 10 did not ...",Politics
165,ITV announces Cold Feet hiatus,"Cold Feet is to ""take a break from our TV screens before embarking on a tenth series"" The hit comedy drama concluded its ninth series last night ITV confirmed the show will be ""rested"" until time has passed to explore the next stage in the characters ...",Entertainment
684,Knife crime hits record high after 7% increase in recorded offences,"Knife crime in England and Wales hit a record high in the year to September, up by 7% on the previous 12 months. Police-recorded offences involving a knife or sharp instrument rose to 44,771, figures released by the Office for National Statistics (ONS) on Thursday show. The figures prompted Barnardo’s chief executive Javed Khan to reiterate ...",UK
91,"NMC Health sees three directors check out, including company founder B R Shetty","There has been a rash of resignations from the board of under-fire NMC Health PLC (LON:NMC), including the departure of its founder, B R Shetty. Shetty has stepped down from the board of the hospitals operator with immediate effect, as have chief investment officer Hani Buttikhi and board member Abdulrahman Basaddiq. The resignations follow ...",Business
61,Broadcaster Ray Mears visits orphaned and injured koalas,"British woodsman Ray Mears has travelled to Kangaroo Island in south Australia to visit koalas orphaned by the devastating bushfires. More than 600 koalas were brought to the island’s Wildlife Park, where a rescue centre was created for the scores of animals orphaned after fires tore through the country. Many of the animals remain seriously ...",World
322,Leeds hospital clinical trials and how they work as new £3.2m research facility opens,"Leeds Teaching Hospitals NHS Trust opened its purpose-built Clinical Research Facility (CRF) at St James’s University Hospital today. It provides dedicated space and facilities for the care of patients participating in clinical trials for new drugs, therapies, techniques or technologies. A new 3.2m Clinical Research Facility has opened at St ...",Health
463,World sees growing move towards net zero emissions goals – analysis,"Countries and areas accounting for almost half of global GDP have net zero targets in the works Photo: Peter Byrne/PA Almost half the world’s economic output is generated in areas where there are now moves to cut carbon emissions to net zero by 2050, analysis suggests. The analysis finds more than 39 trillion US dollars (£30 trillion) of the ...",ScienceAndTechnology
107,What is driving IoT apathy?,"Not all is well. “The problem,” says Andrew Dunbar, “is that ‘internet of things’ is such a broad, almost meaningless term. What’s more, the whole idea of IoT has been massively oversold, more in emphasis than in inaccuracy. It’s all connected underwear and connected bathmats, and that bores people because they can’t see the ...",Business
615,York flooding – Live updates,City of York Council says that Knavesmire Road is now closed to traffic by floodwater. These pictures by David Dunning show the water covering the road. A timely reminder from the fire service. Earlier this evening crews from York & Acomb attended a car stuck in floodwater in Acaster Malbis. NYFRS are advising the public to not drive through ...,UK
358,Andrew Sabisky: Dominic Cummings ‘misfit’ quits after row over eugenics and race,"A Downing Street adviser has quit after Boris Johnson was dragged into a row over his past comments on eugenics and race. Andrew Sabisky, who was hired as part of Dominic Cummings’s drive for “weirdos and misfits”, announced his resignation last ...",Politics
651,Bus driver arrested on suspicion of dangerous driving after Romford crash,"Police were called to reports of a collision between a pedestrian and a bus in South Street at 4.25pm on Saturday, February 15. A Metropolitan Police spokeswoman said: ""Officers and the London Ambulance Service attended and a woman in her 30s was taken to hospital with potentially life-changing injuries."" LAS said they treated a woman at the ...",UK
199,Fleabag Fans Get Ready — Phoebe Waller-Bridge's HBO Series is About to Be Your New Obsession,"Fleabag may be over, but Phoebe Waller-Bridge's new comedy thriller Run might just be the show I need to get over the Hot Priest once and for all. The HBO series will star Star Wars's Domnhall Gleeson as Billy Johnson and Marriage Story's Merrett Wever as Ruby Richardson, ex college lovers who make good on a pact they've kept for 17 years.",Entertainment
192,Tommy Hilfiger Chose An All-Star Cast to Model His TommyNow Spring 2020 Collection in London,"Tommy Hilfiger's Spring 2020 collection for TommyNow was buzzing with youthful exuberance. It's the designer's fourth collaborative collection with race-car driver Lewis Hamilton, and the entire show was a celebration of diverse, young talent leading the TommyNow brand into an inclusive — and sustainable — new future. Hilfiger brought out ...",Entertainment
215,"Diablo and Overwatch animated shows are on the way, CV suggests","Activision Blizzard is planning to release animated series based on the Diablo and Overwatch properties. That’s according to the LinkedIn profile of Nick van Dyk, the former Walt Disney Company executive who’s currently president of Activision Blizzard Studios. The LA-based film and television studio was established in 2015 to create ...",Entertainment
591,How John Lundstram views the challenge of £22m man Sander Berge as pair compete for same Sheffield United place,"But the midfielder, who came off the bench to score United's winner last weekend against AFC Bournemouth, is confident he can compete with the £22m Norweigan international after he joined United late in the January transfer window. Berge has started both of United's games since his club-record move, with Lundstram on the bench. But the ...",Sports
281,High Prevalence of COPD Driving Growth in Portable Oxygen Concentrators Market Over 2018-2026: Transparency Market Research,"ALBANY, New York, Feb. 17, 2020 /PRNewswire/ -- Multiple factors are set to drive the global Portable Oxygen Concentrators Market to a higher worth of USD 3.1 bn. by the end of 2026 from around USD 1.0 bn. in 2017. This translates to an impressive Compound Annual Growth Rate (CAGR) of 9.1% between 2018 and 2026, states Transparency Market ...",Health
287,Leeds surgeon suspended as almost '50 patients recalled for review' at Spire Hospital,"Mike Walsh had been working at the private Spire Healthcare's Leeds hospital until April 2018, when the company started investigating concerns raised about him. Almost 50 of his patients have now been recalled for a review of the treatment they received, the company said. The details have emerged after an inquiry found Ian Paterson, who had ...",Health
561,Aston Villa: Fans express their frustrations with Danny Drinkwater against Spurs,"Aston Villa failed to capitalise on the opportunity to move further away from the relegation zone after falling to a 3-2 defeat at home against Tottenham. It looked like it would be Villa’s day after they fortunately took the lead early on when Toby Alderweireld knocked the ball past Hugo Lloris, but the home side couldn’t maintain their ...",Sports
533,'So now I miss a cup final' - Ex-Hibs striker James Keatings hits out at red card for diving as club confirms appeal,"ICT to appeal yellow card for simulation as club brands decision 'disgraceful' Inverness Caledonian Thistle forward James Keatings has hit out at his controversial dismissal for simulation in his side's Tunnock's Caramel Wafer Challenge Cup clash with Rangers Colts. The former Hibs striker, who was part of the Scottish Cup-winning team in May ...",Sports
446,When Facebook Dating is coming to the UK - and why there are privacy concerns,"Facebook's dating site was due to launch a day before valentines day 2020, but on Thursday 13 February, the EU pulled the plug on it due to serious data protection concerns. The social media giant failed to pass Irish data security regulations by not submitting adequate documentation. Given that Facebook's EU headquarters is in Dublin, the ...",ScienceAndTechnology
203,BBC One Renews ‘The Goes Wrong Show’ For Second Season,"BBC One has picked up The Goes Wrong Show for a second season. Six episodes have been ordered for the show’s second season. Season two was commissioned by the BBC’s Controller of Comedy Commissioning Shane Allen and the BBC’s Director of Content Charlotte Moore. A TV adaptation of Mischief Theatre’s The Play That Goes Wrong, The Goes ...",Entertainment
154,"Why no northern accents reading t'news, asks Yorkshire poet",Ian McMillan says north of England is a ventriloquist’s dummy voiced by the south,Entertainment
34,Kate Middleton opens up about how ‘terrifying’ she found her Lindo Wing steps post-birth photos,"Kate Middleton is one of the most talked about women in the world, making viral news with everything from her fashion statements (hello Kate Middleton effect) to her public appearances. Over the weekend, the Duchess of Cambridge hit the headlines once more, making her podcast debut on Giovanna Fletcher’s podcast, Happy Mum, Happy Baby.",World
402,"Documents show ""spare"" AUD$150,000 given to shooting study rather than 2019 INAS Global Games in Brisbane","Australia's former Sports Minister Bridget McKenzie opted to use spare federal money to fund a AUD$150,000 (£77,000/$101,000/€93,000) study into the benefits of shooting rather than supporting last year's International Federation for Athletes with Intellectual Impairments (INAS) Global Games in Brisbane, documents show. As reported by The ...",Politics
276,Cleaning products linked to children’s asthma,"Being exposed to household cleaning products early in life is linked to an increased risk of asthma and wheezing in young children, a study has suggested. Researchers looked at more than 2,000 children and found that those most exposed to cleaning products such as washing-up liquid, dishwasher detergent, multi-surface cleaners, window cleaners ...",Health
163,Caroline Flack: Outrage as Katie Hopkins delivers horror tweet on tragic star,The former Apprentice star criticised ITV’s decision to remove Caroline as host of Love Island and yet support Ant McPartlin’s recovery after an arrest for drink driving. In a Twitter video published onto her recently re-activated Twitter account ...,Entertainment
73,"HSBC sets new cost cutting, profit targets after 2019 profit falls 33%","HONG KONG/LONDON (Reuters) - HSBC Holdings PLC on Tuesday unveiled plans to cut costs and simplify its structure to boost earnings, after its 2019 profit dropped 33% hit by one-time write-offs linked to its investment banking and commercial banking ...",Business
687,"Fraudsters in UK operate with impunity, report says","Fraudsters in the UK “currently operate with impunity” and police have not kept pace with the sharp rise in cases, a report has found. Fraud now accounts for one in three of all crimes committed in Britain and has cost millions of victims more than £130 billion to date, according to the review by ex-deputy Scotland Yard Commissioner Sir ...",UK
72,"Manchester City sponsorship 'covered' by Abu Dhabi government, not Etihad","A consultants’ report written for the Crown Prince of Abu Dhabi stated that the Abu Dhabi government, not Etihad itself, was ‘covering’ the airline’s sponsorship of Manchester City in 2010",Business
241,A coronavirus hoax message is circulating on WhatsApp - here’s what to do if you receive it,"A coronavirus scam message has been circulating on WhatsApp, claiming that garlic is a cure for the deadly infection. As of Monday 17 February, the disease - officially named Covid-9 - has infected more than 71,000 people globally. However, people have been taking to social media to share a strange WhatsApp message from an unknown sender ...",Health
105,Machine Tools Market will be growing at a CAGR of 4.5% during the forecast 2018 to 2026,"According to a new market research report published by Credence Research “Machine Tools Market – Growth, Future Prospects, and Competitive Analysis, 2018 – 2026”, the global machine tools market is set to hit US$ 120 Bn mark by 2026. The overall machine tools market is highly governed by the continually rising industrial manufacturing ...",Business
26,Mysteries of Ex-ISIS Citizens and Erdogan's Interference in Bring Two Group Terrorists into Conflict,The return of ISIS combatants and sympathizers from Indonesia not only caused polemic but also a number of questions. Talking about the number of ex-Indonesian citizens of ISIS that remains a mystery following an explanation that can estimate the number of ...,World
278,Health board introduce testing for people claiming Coronavirus symptoms,NHS Greater Glasgow and Clyde has launched a new system as part of plans to manage any possible or confirmed cases. Public health medics wearing protective suits will visit people who complain of Coronavirus. NHS Greater Glasgow and Clyde has introduced a new system of “community testing” for people who complain of symptoms of the ...,Health
558,PSG: decision to leave Leandro Paredes out of squad for Dortmund “tactical”,"Ligue 1 side PSG confirmed earlier today that the decision to leave Argentinian midfielder Leandro Paredes out of their 21-man travelling squad to face Dortmund in the Champions’ League tomorrow was a tactical one, according to RMC. However, Foot Mercato report that this move from Thomas Tuchel was not quite as simple as that. Paredes felt ...",Sports
566,Manchester United and Man City Premier League results predictor in top four race,Manchester United and Man City will soon return from their inaugural Premier League break and you can predict their next games. Manchester United and Manchester City will soon return to action for the hectic latter stages of the season following the inaugural Premier League winter break. United have enjoyed their allotted two weeks break to the ...,Sports
329,Bolton says he hopes book is not 'suppressed' by White House,"WASHINGTON (Reuters) - John Bolton, the former national security adviser to President Donald Trump, raised concern on Monday about his unpublished book being “suppressed” by the White House ...",Politics
617,"Kate, the Duchess of Cambridge, reveals 'terrifying' experience as new mum to George","Kate recently opened up about her experience as a new mum, which is far from the ordinary when you’re a member of the Royal Family. Now the Duchess of Cambridge has revealed how she really felt in her first appearance outside St Mary's Hospital as the public flooded in from near and far to see the royal baby. At 4.24pm on 22nd July 2013 at St ...",UK
434,Customer loyalty and keeping up with ever-evolving customer expectations,"Loyalty programmes have steadily been opening up to a wider audience, but many brands are taking steps that are simply derivatives of traditional loyalty schemes rather than outside-of-the-box reboots, which are where the big opportunities lie. Two trends offer travel marketers a chance to take a quantum leap. First, travel points earned from ...",ScienceAndTechnology
169,Liam Hemsworth’s new girlfriend: Everything you need to know about Gabriella Brooks,Liam Hemsworth has finalised his divorce with Miley Cyrus and since coupled up with 23 year old model Gabriella Brooks. Any doubts about whether the couple are together were firmly put to bed last month after pictures of the two kissing on the beach in ...,Entertainment
559,Papua New Guinea taekwondo athletes prepare for Tokyo 2020 qualifier in Adelaide,"Three taekwondo fighters from Papua New Guinea have made the journey to Australia to train for the Oceania Qualification Tournament for the Tokyo 2020 Olympic Games. Rainner Pennie, Steven Tommy and Noeline Hatana are all in Adelaide working with Australian-based coach Andy Rutten. Only the winners of each weight division will earn a place at ...",Sports
467,Bedeschi long belt conveyor installation at Lafarge Holcim Maroc,"Erection works are underway at Bedeschi’s Lafarge Holcim Maroc project site. Following an intense civil work phase, during which the single trusses were preassembled and equipped with the mechanical comports the 4.3 km long distance belt conveyor starts taking shape. The company is taking advantage of Trimble Connect to facilitate the ...",ScienceAndTechnology
95,How the US-China trade war is felt stateside: Xilinx trims workforce after lucrative Huawei sales pipe blocked,"Hey GitLab, the 1970s called and want their sexism back: Saleswomen told to wear short skirts, heels and 'step it up' A small round of layoffs at Silicon Valley's Xilinx was the result of the US government's ongoing war on Huawei, one of the FPGA designer's top customers. According to the latest California Workforce Adjustment and Retraining ...",Business
362,Dosh for deportations—how private firms cash in,Behind the brutality of Britain’s immigration system lies a web a subcontractors that profit from deportations. It begins with the firms that run Britain’s 11 detention centres and imprison ...,Politics
260,Meet the Lincoln man who homes Chernobyl disaster children,Jack with some of the children from 2017 just before they went home. A Lincoln man who has helped 30 children still reeling from the effects of the Chernobyl disaster nearly 34 years ago has reignited the scheme after a year out. Jack Walters is the youngest chair of a regional Chernobyl Children Lifeline group at 21-years-old after he was ...,Health
83,Sustainability consultancy ERM buys boutique Critical Resource,"Sustainability consultancy ERM has purchased Critical Resource Strategy & Analysis – a specialist sustainability advisory company providing expertise in assessing risks for the mining and energy industry. Founded in 2006, Critical Resource works with ...",Business
9,Far-Right German terror cell was 'planning attacks on ten mosques',"Twelve men arrested in Germany last week were planning to carry out far-Right attacks at ten mosques across the country, it has emerged. They planned to stage multiple attacks modelled on the Christchurch mosque shootings of last year, in which 51 people were killed, a government spokesman said on Monday. ""It’s shocking what has been ...",World
517,Plenty of positives for Clijsters despite Dubai comeback defeat,(Reuters) - Kim Clijsters says there was much to be pleased about in her comeback match against Garbine Muguruza after the Belgian matched the pace and intensity of the Australian Open finalist before losing 6-2 7-6(6) in Dubai on Monday. Four-time Grand Slam champion Clijsters was making her first appearance on the WTA Tour since the 2012 U.S ...,Sports
621,White cop pulls over black driver for going 65mph in a 70mph zone,Anthony Perry posted video of a cop pulling him over for going five miles an hour below the speed limit. (Picture: Facebook) A black driver accused a white police officer of discrimination after he was pulled over for going five miles below the speed limit. Anthony Perry was stopped by a deputy with the Sampson County Sheriff’s Department in ...,UK
697,Care home providing respite 'safe space' rated 'outstanding',"Oak Trees, in Attleborough, was praised by Care Quality Commission (CQC) inspectors for providing flexible, responsive and person-centred care and praised the service's 'very compassionate and dedicated' staff who took great care and effort to support people. The health watchdog rated it 'outstanding' for being safe, caring and well-led and ...",UK
266,Quick HIV tests fight Glasgow’s worst outbreak since 1980s,Tests for HIV that provide results in minutes are being brought in to tackle Glasgow’s worst outbreak in decades. Support workers are offering new finger-prick blood tests at needle exchanges in the city as part of a drive to halt the spread of the virus among intravenous drug users. Previously test results could take up to two weeks and it ...,Health
698,'Fantastic' start-up for new Sidmouth dog care parlour,"Michelle Taylor has opened her own premises, called The Scruffy Paw, after previously operating from another dog grooming salon. She was granted a change of use for a unit in Kingsdown Business Park in Salcombe Regis, formerly occupied by an upholstery business, in January. She now offers grooming, daycare during working hours, dog walking and ...",UK
537,"“I had a good feeling out there”, Clijsters reflects on first WTA match in over seven years","Playing her first match since August 2012, Clijsters looked impressively sharp, especially in a very competitive second set. The 36-year-old crunched crisp forehands and showed trademark athleticism as she dragged Muguruza into a second set tie break, but she ultimately succumbed to a 6-2 7-6 defeat after 97 minutes. Her comeback threatened to ...",Sports
378,Suella Braverman: Fareham MP considering legal action over story connecting her to Buddhist order with history of sexual abuse claims,"The story in The Observer said Mrs Braverman is a 'mitra' - a Sanskrit word meaning friend - within the Triratna order, one of the largest Buddhist groups in the UK. More than 40 members claim they experienced or know of sexual misconduct carried out by senior members or the order's founder, Dennis Lingwood, according to an internal report made ...",Politics
543,Chelsea fans rage at Frank Lampard for selecting ‘worst lineup of the season’ vs Man Utd,"Chelsea fans were far from happy with Frank Lampard’s line-up against Manchester United on Monday night. The Blues take on the Red Devils in a huge Premier League clash knowing victory would be a massive injection of fresh belief into their hopes of securing a spot in the Champions League for next season. Headed into the game, Chelsea are one ...",Sports
175,CPS defends decision to pursue Caroline Flack assault charges,"The former Love Island host's representatives had criticised the Crown Prosecution Service over how the TV presenter's assault charge was handled, labelling it a ""show trial"". The Crown Prosecution Service has defended the process in place for deciding ...",Entertainment
66,South African mulls Heathrow slot sale - report,"South African Airways (SA, Johannesburg O.R. Tambo) is contemplating selling one of its two daily slot pairs at London Heathrow airport to gain much-needed cash, Business Day has reported citing unnamed officials. The airline did not officially confirm the plan. South African Airways is currently using a landing slot from one slot pair and a ...",World
641,Driver flees scene of M5 crash which left pregnant woman needing medical attention,"Police are looking for a motorist who failed to stop after a crash on the M5 which left a pregnant woman needing medical attention. The collision took place between Avonmouth and Cribbs Causeway (J18-17) on the northbound carriageway on Friday evening (February 14). At around 5.20pm, the female driver of a vehicle stopped on the hard shoulder ...",UK
408,East Anglia's MPs in plea for funding in Budget,"Mr Sunak, who moved into No 11 Downing Street on Thursday, was due to unveil his first Budget on March 11 - although that date is now uncertain because he might need longer to check the figures prepared by his predecessor Sajid Javid. But co-chairs of the East of England All Party Parliamentary Group, MPs Peter Aldous and Daniel Zeichner, have ...",Politics
36,"Tokyo Marathon restricted to elite participants, sidelining more than 37,000 public runners over coronavirus fears","The Tokyo Marathon will be held for only marathon elites and wheelchair elites, greatly limiting the number of participants in one of the six major marathon road races due to concerns of the COVID-19 coronavirus, organizers announced Monday. The annual race schedule for March 1 will now be limited to a couple hundred participants rather than ...",World
524,England tour 'a great dress rehearsal' for reception in South Africa - Justin Langer,"Australia coach Justin Langer has hailed Steve Smith and David Warner's ""brilliant reintegration"" into the national team, and suggested that last year's tour to England had been a ""great dress rehearsal"" ahead of his side's return to South Africa for the first time since the Newlands scandal in March 2018. Langer replaced Darren Lehmann as ...",Sports
403,Britain and EU will 'rip each other apart' on post-Brexit trade deal,"Britain has been warned to expect a battle in upcoming negotiations with the EU on a post-Brexit trade deal. France has warned that Brussels will defend its interests when negotiations begin next month. The country's foreign minister Jean-Yves le Drian predicted the two sides would ""rip each other apart"" as they strove for advantage in the talks.",Politics
267,Scottish woman claims hero horse found her brain tumour,"A Scottish woman says her brain tumour was detected by her pet horse. Kelly Ann Alexander, 43, says horse Aliyana was the reason she felt compelled to go to the hospital to have tests. Kelly Ann Alexander, 43, says horse Aliyana was the reason she felt compelled to go to the hospital to have tests PA She said after she began suffering seizures ...",Health
380,We spent a day inside a Birmingham job centre and this is what we found,"We spent a day at Selly Oak Jobcentre where we met a homeless woman, a war veteran and an Iraqi single mum and discovered how staff were doing so much more than just helping them find jobs and secure Universal Credit Zoe Newton had been sleeping rough in Quinton for five nights when she staggered, exhausted and broken, into the Jobcentre in ...",Politics
261,UK passengers on Diamond Princess beg Govt to bring them home,"A Brit on board Diamond Princess has begged the Government to bring himself and the other 77 UK passengers home. David Abel, who has regularly shared social media posts since being quarantined on the ship on February 3, said he has 'never felt less loved by my country'. He spoke after 70 passengers on board the quarantined ship tested positive ...",Health
316,Researchers at the Cambridge Science Festival reveal latest insights into the brain,"Leading scientists at the forefront of neuroscience discuss the latest research into hallucinations, dementia, autism, OCD and eating disorders as part of a series of events examining the brain at this year’s Cambridge Science Festival. Our brains have no direct contact with external reality. They sit within the thick vault of the skull and ...",Health
53,Non-binary bisexual Catholic priest wants you to know people of all genders are created in God’s image,"A non-binary priest has been ordained to lead an independent, LGBT-inclusive Catholic church in San Diego. Reverend Kori Pacyniak, pastor of San Diego’s Mary Magdalene Apostle Catholic Community, was ordained by the rebel Roman Catholic Womenpriests movement – which is not recognised by the Vatican or the local San Diego diocese. Non-binary ...",World
486,Digital showcase for Marshall Centre marks its apprenticeship scheme centenary,"Cambridge-based web design and development agency, Onespacemedia, has launched a new website for Marshall Centre, part of Marshall of Cambridge (Holdings) Ltd, to showcase its training offering for apprenticeships, professionals and companies. Marshall Centre provides world-leading apprenticeships and training for both professionals and ...",ScienceAndTechnology
564,Champions League form guide: the last 16's latest results,"Atlético Since Matchday 6: DWLDLLDWWWW (all competitions, most recent first) Latest: Valencia 2-2 Atlético, 15/02 Next: Liverpool (h), 18/02 – UEFA Champions League round of 16 first leg Where they stand: 4th in Liga Liverpool Since Matchday 6: WWWDWWWWWWWWWLW Latest: Norwich 0-1 Liverpool, 15/02 Next: Atlético (a), 18/02 – UEFA ...",Sports
